"timestamp","source_path","destination_path","review_type","confidence","action_taken","notes"
"2026-04-03T22:06:37.3377256-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 174716.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 174716.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3397356-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 175033.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 175033.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3452328-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 133752.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 133752.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3472325-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 145418.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 145418.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3482325-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 152929.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 152929.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3492328-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 155946.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 155946.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3512323-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 160433.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 160433.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3522332-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 160658.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 160658.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3537356-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 172423.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 172423.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
"2026-04-03T22:06:37.3547391-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-28 172839.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-28 172839.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-28)"
